Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
55,0,Travel_Rarely,329,R&D,15,2,Other,2,Male,4,Research Director,3,Divorced,8733,5,No,4,4,2,2
28,1,Non-Travel,512,HR,17,1,Human Resources,4,Female,3,Human Resources,4,Single,14110,7,No,3,4,0,0
52,0,Travel_Rarely,1053,Sales,22,2,Human Resources,4,Female,1,Sales Executive,3,Divorced,6049,4,No,3,2,2,2
25,0,Travel_Rarely,999,R&D,22,2,Life Sciences,4,Male,2,Healthcare Representative,4,Single,11318,1,No,3,4,9,0
20,1,Travel_Rarely,792,R&D,18,4,Human Resources,3,Female,2,Manager,1,Single,13633,3,No,3,2,4,0
31,1,Travel_Frequently,979,R&D,27,1,Life Sciences,4,Male,1,Laboratory Technician,4,Single,16608,0,No,4,4,11,3
30,1,Travel_Frequently,888,R&D,8,3,Marketing,2,Male,1,Research Director,4,Divorced,1638,1,Yes,3,3,5,2
49,0,Travel_Rarely,163,Sales,6,2,Technical Degree,3,Female,3,Sales Representative,1,Married,8709,3,No,3,3,18,0
51,0,Travel_Rarely,1452,R&D,11,1,Life Sciences,2,Female,1,Manager,4,Married,6143,5,No,3,2,20,6
36,0,Travel_Rarely,980,Sales,29,3,Life Sciences,3,Male,3,Sales Representative,4,Divorced,2224,3,No,3,2,0,0
55,0,Travel_Rarely,1258,R&D,26,2,Human Resources,2,Female,4,Healthcare Representative,1,Married,15466,3,No,3,1,4,4
33,0,Travel_Rarely,1314,HR,9,1,Life Sciences,1,Male,4,Manager,1,Single,16279,9,No,3,4,6,1
19,1,Travel_Frequently,457,Sales,26,4,Other,1,Female,1,Sales Representative,1,Married,13102,9,Yes,4,3,2,0
57,0,Travel_Rarely,172,R&D,5,2,Medical,1,Female,1,Laboratory Technician,3,Married,5245,1,No,3,1,3,1
34,0,Travel_Frequently,364,R&D,7,2,Medical,2,Male,1,Research Director,1,Married,10741,8,No,3,4,7,2
51,0,Travel_Rarely,407,R&D,22,1,Marketing,3,Female,1,Research Scientist,1,Single,8407,9,No,3,3,1,0
59,0,Travel_Rarely,659,R&D,27,2,Life Sciences,4,Female,2,Healthcare Representative,4,Married,15790,7,Yes,3,4,6,3
33,0,Travel_Rarely,1349,R&D,15,3,Other,4,Male,2,Research Director,2,Married,16642,7,No,3,2,8,0
55,0,Non-Travel,1453,R&D,21,2,Human Resources,2,Male,4,Healthcare Representative,2,Married,10567,4,No,3,3,0,0
19,0,Travel_Rarely,863,R&D,22,5,Human Resources,2,Male,2,Research Scientist,3,Divorced,9859,2,No,3,3,4,0
19,0,Travel_Rarely,689,R&D,4,3,Technical Degree,2,Male,1,Research Scientist,3,Divorced,6768,5,No,3,1,2,2
43,0,Non-Travel,175,R&D,19,1,Marketing,2,Male,3,Research Director,2,Married,19758,8,No,3,4,9,0
30,0,Travel_Rarely,243,R&D,13,3,Other,4,Male,4,Research Scientist,2,Divorced,18399,7,No,4,2,1,1
48,0,Travel_Rarely,203,R&D,1,5,Other,3,Female,1,Manager,1,Divorced,1335,6,No,3,2,15,1
51,0,Travel_Rarely,1190,R&D,1,5,Human Resources,4,Male,2,Laboratory Technician,4,Single,13953,7,No,3,4,3,3
56,0,Travel_Rarely,294,Sales,22,2,Technical Degree,2,Male,3,Manager,1,Divorced,16330,3,No,3,4,1,1
20,1,Non-Travel,1054,R&D,14,2,Human Resources,1,Male,3,Research Director,3,Divorced,17464,5,No,3,2,4,2
25,1,Travel_Frequently,1187,R&D,9,4,Technical Degree,4,Female,2,Healthcare Representative,2,Married,3134,4,No,3,4,3,3
40,0,Non-Travel,1366,R&D,24,3,Medical,1,Male,1,Manager,3,Single,17641,1,No,3,1,3,0
31,0,Travel_Rarely,511,R&D,12,4,Other,1,Male,3,Research Director,1,Single,1184,7,No,3,4,6,0
44,0,Travel_Rarely,401,R&D,18,5,Medical,2,Female,3,Research Scientist,3,Single,17506,2,Yes,3,1,5,0
46,0,Travel_Rarely,1320,R&D,9,2,Human Resources,4,Female,2,Research Scientist,3,Divorced,9056,4,Yes,3,1,1,0
56,1,Non-Travel,555,R&D,8,2,Marketing,3,Male,3,Research Scientist,4,Married,8263,7,No,3,4,0,0
56,0,Travel_Rarely,675,Sales,14,2,Life Sciences,4,Female,3,Sales Executive,3,Single,14191,8,No,3,3,9,0
18,0,Travel_Rarely,720,HR,28,1,Marketing,3,Female,3,Human Resources,1,Single,4514,8,Yes,4,3,5,1
34,0,Travel_Rarely,738,Sales,9,5,Marketing,3,Male,4,Sales Representative,4,Divorced,7077,4,No,3,1,3,1
58,0,Travel_Rarely,402,R&D,20,2,Life Sciences,2,Male,1,Laboratory Technician,3,Single,18778,1,No,4,4,11,1
47,0,Travel_Frequently,880,R&D,25,5,Other,3,Male,1,Healthcare Representative,1,Married,3352,6,No,4,1,3,1
30,0,Travel_Frequently,1090,Sales,2,2,Medical,4,Female,2,Manager,2,Single,16716,6,No,3,4,11,3
38,0,Non-Travel,303,R&D,29,3,Medical,4,Male,1,Laboratory Technician,4,Married,10500,7,No,3,4,2,0
36,0,Travel_Rarely,775,R&D,1,5,Other,1,Female,3,Laboratory Technician,3,Married,15992,7,Yes,4,2,0,0
36,0,Travel_Rarely,403,R&D,13,4,Life Sciences,3,Male,1,Research Scientist,3,Married,11133,4,Yes,3,3,18,1
